Country ISO3,Admin 1 PCode,Admin 1 Name,MPI,Headcount Ratio,Intensity of Deprivation,Vulnerable to Poverty,In Severe Poverty,Survey,Start Date,End Date,Methodology Note Number
#country+code,#adm1+code,#adm1+name,#indicator+mpi,#indicator+headcount_ratio,#indicator+intensity_of_deprivation,#indicator+vulnerable_to_poverty,#indicator+in_severe_poverty,#meta+survey,#date+start,#date+end,#meta+methodology+num
AFG,,,0.3603,64.8829,55.5317,19.8961,39.1051,MICS,2022-01-01 00:00:00+00:00,2023-12-31 00:00:00+00:00,59
AFG,AF01,Kabul,0.1268,27.9088,45.4448,34.6170,7.7371,MICS,2022-01-01 00:00:00+00:00,2023-12-31 00:00:00+00:00,59
AFG,AF02,Kapisa,0.4199,76.7438,54.7140,17.6739,44.9334,MICS,2022-01-01 00:00:00+00:00,2023-12-31 00:00:00+00:00,59
AFG,AF03,Parwan,0.3021,57.7282,52.3311,27.8219,29.0427,MICS,2022-01-01 00:00:00+00:00,2023-12-31 00:00:00+00:00,59
AFG,AF04,Wardak,0.3393,64.7870,52.3707,24.8975,35.2280,MICS,2022-01-01 00:00:00+00:00,2023-12-31 00:00:00+00:00,59
AFG,AF05,Logar,0.3333,63.4333,52.5367,26.0385,28.6028,MICS,2022-01-01 00:00:00+00:00,2023-12-31 00:00:00+00:00,59
AFG,AF06,Nangarhar,0.3596,68.3657,52.5926,19.8120,37.8043,MICS,2022-01-01 00:00:00+00:00,2023-12-31 00:00:00+00:00,59
AFG,AF07,Laghman,0.3873,71.6449,54.0624,19.3423,43.1517,MICS,2022-01-01 00:00:00+00:00,2023-12-31 00:00:00+00:00,59
AFG,AF08,Panjsher,0.1970,42.4987,46.3618,38.5113,13.5895,MICS,2022-01-01 00:00:00+00:00,2023-12-31 00:00:00+00:00,59
AFG,AF09,Baghlan,0.4125,76.4234,53.9706,15.7851,48.4589,MICS,2022-01-01 00:00:00+00:00,2023-12-31 00:00:00+00:00,59
AFG,AF10,Bamyan,0.2428,49.9125,48.6483,32.3472,19.9131,MICS,2022-01-01 00:00:00+00:00,2023-12-31 00:00:00+00:00,59
AFG,AF11,Ghazni,0.3349,61.6484,54.3175,23.4971,35.2039,MICS,2022-01-01 00:00:00+00:00,2023-12-31 00:00:00+00:00,59
AFG,AF12,Paktika,0.4901,87.5650,55.9645,10.8362,48.8294,MICS,2022-01-01 00:00:00+00:00,2023-12-31 00:00:00+00:00,59
AFG,AF13,Paktya,0.3422,66.6152,51.3751,24.5452,30.1379,MICS,2022-01-01 00:00:00+00:00,2023-12-31 00:00:00+00:00,59
AFG,AF14,Khost,0.3490,70.3846,49.5883,18.8565,32.2526,MICS,2022-01-01 00:00:00+00:00,2023-12-31 00:00:00+00:00,59
AFG,AF15,Kunarha,0.3715,68.6338,54.1347,22.0703,39.1215,MICS,2022-01-01 00:00:00+00:00,2023-12-31 00:00:00+00:00,59
AFG,AF16,Nooristan,0.5310,89.7414,59.1680,8.5105,64.9368,MICS,2022-01-01 00:00:00+00:00,2023-12-31 00:00:00+00:00,59
AFG,AF17,Badakhshan,0.4282,80.4299,53.2369,14.6253,44.5631,MICS,2022-01-01 00:00:00+00:00,2023-12-31 00:00:00+00:00,59
AFG,AF18,Takhar,0.3389,64.3851,52.6394,24.2198,33.0324,MICS,2022-01-01 00:00:00+00:00,2023-12-31 00:00:00+00:00,59
AFG,AF19,Kunduz,0.3818,67.5341,56.5414,19.3975,42.5182,MICS,2022-01-01 00:00:00+00:00,2023-12-31 00:00:00+00:00,59
AFG,AF20,Samangan,0.4907,83.4884,58.7690,12.6942,61.3891,MICS,2022-01-01 00:00:00+00:00,2023-12-31 00:00:00+00:00,59
AFG,AF21,Balkh,0.2238,42.9932,52.0503,24.3995,23.5252,MICS,2022-01-01 00:00:00+00:00,2023-12-31 00:00:00+00:00,59
AFG,AF22,Sar-e-Pul,0.4086,72.3122,56.5054,17.4412,46.4399,MICS,2022-01-01 00:00:00+00:00,2023-12-31 00:00:00+00:00,59
AFG,AF23,Ghor,0.5275,88.8989,59.3374,10.1340,65.9894,MICS,2022-01-01 00:00:00+00:00,2023-12-31 00:00:00+00:00,59
AFG,AF24,Daykundi,0.2931,56.8473,51.5647,26.3646,28.3518,MICS,2022-01-01 00:00:00+00:00,2023-12-31 00:00:00+00:00,59
AFG,AF25,Urozgan,0.5153,87.6666,58.7749,10.1807,63.2258,MICS,2022-01-01 00:00:00+00:00,2023-12-31 00:00:00+00:00,59
AFG,AF26,Zabul,0.5622,91.0949,61.7201,7.4594,70.8037,MICS,2022-01-01 00:00:00+00:00,2023-12-31 00:00:00+00:00,59
AFG,AF27,Kandahar,0.4996,82.5686,60.5084,8.4062,60.6963,MICS,2022-01-01 00:00:00+00:00,2023-12-31 00:00:00+00:00,59
AFG,AF28,Jawzjan,0.3199,59.3892,53.8647,23.8066,30.8769,MICS,2022-01-01 00:00:00+00:00,2023-12-31 00:00:00+00:00,59
AFG,AF29,Faryab,0.4673,77.3129,60.4405,13.1424,55.7767,MICS,2022-01-01 00:00:00+00:00,2023-12-31 00:00:00+00:00,59
AFG,AF30,Helmand,0.5436,87.8165,61.9046,8.1597,64.1673,MICS,2022-01-01 00:00:00+00:00,2023-12-31 00:00:00+00:00,59
AFG,AF31,Badghis,0.5477,88.7362,61.7241,8.2635,72.0934,MICS,2022-01-01 00:00:00+00:00,2023-12-31 00:00:00+00:00,59
AFG,AF32,Herat,0.2887,52.4847,55.0090,21.5967,30.8883,MICS,2022-01-01 00:00:00+00:00,2023-12-31 00:00:00+00:00,59
AFG,AF33,Farah,0.4910,81.7616,60.0555,11.0742,57.1423,MICS,2022-01-01 00:00:00+00:00,2023-12-31 00:00:00+00:00,59
AFG,AF34,Nimroz,0.3366,64.3824,52.2760,16.0238,33.8814,MICS,2022-01-01 00:00:00+00:00,2023-12-31 00:00:00+00:00,59
